filename	spectral_type	luminosity_class	Teff	mU	mV	mK	mBol	BC_U	BC_V	BC_K
pickles_uk_61	B2	III	19952.6	-4.588213598235669	-4.099679380308807	-1.5305760379343596	-5.290816457414756	0.7026028591790876	1.1911370771059495	3.7602404194803967
pickles_uk_63	B5	III	14791.1	-2.028271146451118	-2.0990143869813878	0.13363050991669922	-2.7995251253724973	0.7712539789213793	0.7005107383911096	2.9331556352891965
pickles_uk_64	B9	III	11091.8	-0.13808216377137938	-0.6992791715123943	1.3134761295481496	-1.1038371483416043	0.9657549845702249	0.40455797682921	2.417313277889754
pickles_uk_65	A0	III	9571.94	0.47130869549150844	-0.30650385598230656	1.5179097140519673	-0.6793040397072545	1.150612735198763	0.37280018372494794	2.197213753759222
pickles_uk_67	A5	III	8452.79	1.6004096597180535	0.5914624766585632	2.0328868070643153	0.24989596861367147	1.350513691104382	0.34156650804489175	1.7829908384506439
pickles_uk_69	F0	III	7585.78	2.623539533272698	1.4948058435342944	2.6167555384459504	1.06463890148504	1.5589006317876581	0.43016694204925443	1.5521166369609105
pickles_uk_71	F5	III	6531.31	2.7113269689936033	1.4965166958657363	2.2097814031958265	0.9055208308549325	1.8058061381386707	0.5909958650108038	1.304260572340894
pickles_uk_72	G0	III	5610.48	2.6455911266971412	0.9946079194152659	1.073587255579433	0.121915294204193	2.5236758324929482	0.8726926252110729	0.95167196137524
pickles_uk_73	G5	III	5164.16	2.57296178262218	0.39676140882397704	0.18225402975084393	-0.6349693251246649	3.2079311077468446	1.031730733948642	0.8172233548755088
pickles_uk_76	G8	III	5011.87	2.8470486676049944	0.4952528335197641	0.20529081739127975	-0.5822571552885023	3.4293058228934967	1.0775099888082664	0.787547972679782
pickles_uk_78	K0	III	4852.89	3.0161476247664964	0.49682069370474835	0.07245060201150011	-0.6561098555092997	3.672257480275796	1.152930549214048	0.7285604575207998
pickles_uk_87	K3	III	4365.16	3.286273386838097	0.09648942584764342	-1.1936401481866454	-1.5423619166612212	4.828635303499318	1.6388513425088647	0.3487217684745758
pickles_uk_93	K5	III	4008.67	3.6283377504577032	-0.20138609202829372	-1.958905025873861	-2.2473976216182407	5.875735372075944	2.046011529589947	0.2884925957443798
pickles_uk_95	M0	III	3819.44	2.949973898816772	-0.6947586061279765	-2.7023207465246415	-2.927958139461616	5.877932038278388	2.2331995333336394	0.22563739293697438
pickles_uk_100	M5	III	3419.79	2.5471235025104377	-0.5211310834122074	-4.544899498482714	-4.516982440058136	7.064105942568574	3.995851356645929	-0.02791705842457759
