filename	spectral_type	luminosity_class	Teff	Mu	MB	Mv	U-B	B-V
pickles_uk_67	A5	III	8452.79	1.5791644079389424	0.6579512771444634	0.6015984490056101	0.921213130794479	0.05635282813885334
pickles_uk_69	F0	III	7585.78	2.594621618390044	1.6507840673941374	1.4996369540584706	0.9438375509959067	0.15114711333566677
pickles_uk_71	F5	III	6531.31	2.70984616978807	1.8016833499054143	1.4967181592262078	0.9081628198826557	0.3049651906792066
pickles_uk_72	G0	III	5610.48	2.6620206327107114	1.5315967190238244	0.9931463854375565	1.130423913686887	0.5384503335862679
pickles_uk_73	G5	III	5164.16	2.581973635746191	1.1464234154088686	0.3908466911040007	1.4355502203373223	0.7555767243048679
pickles_uk_76	G8	III	5011.87	2.8649226606565064	1.3055806431517447	0.489489812978786	1.5593420175047616	0.8160908301729587
pickles_uk_78	K0	III	4852.89	3.035998227849643	1.3137058056992004	0.4893802187562049	1.7222924221504425	0.8243255869429955
pickles_uk_87	K3	III	4365.16	3.286598041916165	1.157872877324898	0.08463766320580904	2.128725164591267	1.073235214119089
pickles_uk_93	K5	III	4008.67	3.6071635605916246	1.0653230164897765	-0.21958874112516238	2.541840544101848	1.284911757614939
pickles_uk_95	M0	III	3819.44	3.064294770394776	0.5749680016919337	-0.7195213105606788	2.489326768702842	1.2944893122526127
pickles_uk_100	M5	III	3419.79	2.6335570945020637	0.6461655367877277	-0.510119070385449	1.987391557714336	1.1562846071731767
pickles_uk_105	M9	III	2500.35	1.477074314725313	0.8977810051404421	0.002473396008258944	0.5792933095848708	0.8953076091321832
pickles_uk_106	B2	II	15995.6	-5.477213169188632	-5.374799496092523	-5.092699189236908	-0.10241367309610894	-0.2821003068556154
pickles_uk_107	B5	II	12589.3	-4.571458374102782	-4.730405808894665	-4.495023562358099	0.1589474347918829	-0.2353822465365658
pickles_uk_108	F0	II	7943.28	-1.4750200741091644	-2.467648554007907	-2.498297346368036	0.9926284798987428	0.03064879236012885
pickles_uk_109	F2	II	7328.25	-1.258105257796035	-2.2847945496097277	-2.501810920898296	1.0266892918136927	0.21701637128856843
pickles_uk_110	G5	II	5248.07	-0.22537177797486044	-1.6351674562330685	-2.4096084970609253	1.409795678258208	0.7744410408278568
pickles_uk_111	K1	II	5011.87	0.7489807873924019	-1.3857176167588812	-2.5147672820532523	2.1346984041512833	1.1290496652943711
pickles_uk_112	K2	II	4255.98	1.360440508710855	-1.2332579732825908	-2.5178975000559363	2.593698481993446	1.2846395267733455
pickles_uk_113	M3	II	3411.93	1.403676615926743	-1.31613158330679	-2.8212777109118155	2.7198081992335332	1.5051461276050255
pickles_uk_114	B0	I	26001.6	-7.0447446907533955	-6.822886219263381	-6.492210214630431	-0.22185847149001425	-0.33067600463295044
pickles_uk_117	B5	I	13396.8	-6.477627405423217	-6.569302095537445	-6.394807260741486	0.09167469011422824	-0.17449483479595873
pickles_uk_118	B8	I	11194.4	-6.277773969703268	-6.516140523632535	-6.3949810117291115	0.23836655392926698	-0.12115951190342322
pickles_uk_119	A0	I	9727.47	-5.941255362111383	-6.509062895810018	-6.396271604168441	0.5678075336986357	-0.1127912916415772
pickles_uk_121	F0	I	7691.3	-5.67740890466924	-6.719443425159949	-6.799295116067331	1.0420345204907093	0.07985169090738164
pickles_uk_122	F5	I	6637.43	-5.4211674582100855	-6.454042408691083	-6.600485822980686	1.0328749504809975	0.14644341428960317
pickles_uk_123	F8	I	6095.37	-4.6761662655577	-5.930065786807411	-6.40476550068122	1.2538995212497115	0.47469971387380916
pickles_uk_124	G0	I	5508.08	-4.356243177051878	-5.65957556770083	-6.308181208078691	1.3033323906489516	0.6486056403778617
pickles_uk_126	G5	I	5046.61	-3.4940237855952825	-5.17472248945984	-6.111074271166494	1.6806987038645573	0.9363517817066542
pickles_uk_127	G8	I	4591.98	-3.0079461551080566	-5.045720939752192	-6.114700413514114	2.037774784644135	1.0689794737619218
pickles_uk_128	K2	I	4255.98	-2.255853834994154	-4.7553880664209816	-6.118530981349145	2.4995342314268276	1.3631429149281633
pickles_uk_130	K4	I	3990.25	-2.1109179049822644	-4.702516621065259	-6.222225777730972	2.5915987160829945	1.519709156665713
pickles_uk_131	M2	I	3451.44	-2.0590489449530116	-4.7381471531102575	-6.322370363286206	2.679098208157246	1.5842232101759484
wd1	DA0	D	50400.0	10.436148671051482	10.37815251914774	10.808830354435822	0.05799615190374219	-0.43067783528808157
wd2	DA6	D	8400.0	14.187312392581088	13.768853575034862	13.701510916772124	0.4184588175462256	0.06734265826273855
