filename	spectral_type	luminosity_class	Teff	mU	mV	mK	mBol	BC_U	BC_V	BC_K
pickles_uk_52	F8	IV	6151.77	3.7077307760426024	2.3000293964410687	2.9012149721383693	1.6255854319584273	2.082145344084175	0.6744439644826414	1.275629540179942
pickles_uk_53	G0	IV	5929.25	4.4408642580454725	2.8999627085127884	3.4182884430035756	2.1792779280045096	2.261586330040963	0.7206847805082788	1.239010514999066
pickles_uk_54	G2	IV	5688.53	4.61168308834052	2.8999907133465115	3.294785000262088	2.13550198078854	2.47618110755198	0.7644887325579717	1.1592830194735484
pickles_uk_55	G5	IV	5597.57	4.879221250196103	2.9999881483033235	3.2860427587125542	2.17397691411977	2.7052443360763334	0.8260112341835537	1.1120658445927845
pickles_uk_56	G8	IV	5308.84	5.225311117378958	3.0999983574069105	3.1814517774890163	2.170786232039724	3.0545248853392337	0.9292121253671866	1.0106655454492923
pickles_uk_57	K0	IV	5011.87	5.521509426832829	3.099928254394186	3.0171294053774673	2.064059904435446	3.4574495223973827	1.03586834995874	0.9530695009420214
pickles_uk_58	K1	IV	4786.3	5.588251045200664	3.0999189347299634	2.9186172964995762	1.9843484308297121	3.603902614370952	1.1155705039002513	0.9342688656698641
pickles_uk_59	K3	IV	4570.88	6.217301969935882	3.0999277761044866	2.58958518484647	1.7855906840923836	4.431711285843498	1.314337092012103	0.8039945007540865
pickles_uk_60	O8	III	31622.8	-5.933968271838673	-5.200113963932665	-2.3222468168500825	-6.527593449711226	0.5936251778725534	1.3274794857785608	4.2053466328611435
pickles_uk_61	B2	III	19952.6	-4.594687643123407	-4.100094434539486	-1.5073977901869782	-5.468312979288108	0.8736253361647002	1.368218544748622	3.9609151891011294
pickles_uk_63	B5	III	14791.1	-2.032867155395941	-2.1000874488068177	0.2306055551317172	-2.8600933379284825	0.8272261825325415	0.7600058891216648	3.0906988930601997
pickles_uk_64	B9	III	11091.8	-0.16052633800975258	-0.7000776614960955	1.4465984518230002	-1.115443053670063	0.9549167156603104	0.4153653921739675	2.562041505493063
pickles_uk_65	A0	III	9571.94	0.46147815343196186	-0.29997829416273447	1.6396874270820874	-0.6863393545479894	1.1478175079799513	0.386361060385255	2.326026781630077
pickles_uk_67	A5	III	8452.79	1.608744512980202	0.6000499589825239	2.116850083980907	0.24173911590644792	1.3670053970737541	0.35831084307607597	1.875110968074459
pickles_uk_69	F0	III	7585.78	2.624861397497476	1.4999942490274734	2.727408413831064	1.0562589204796424	1.5686024770178335	0.44373532854783093	1.6711494933514217
